SG_UF;NM_UE;DS_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF_NASCIMENTO;DT_NASCIMENTO;DS_SIT_TOT_TURNO
MG;URUC∂NIA;VEREADOR;DIMAS ROBERTO;DIMAS ROBERTO;MG;23/12/1988;ELEITO POR MêDIA
MS;IGUATEMI;VEREADOR;JESUS MILANE DE SANTANA;JESUS;PR;03/09/1958;ELEITO POR QP
GO;MOZARL∂NDIA;VEREADOR;MARCOS XAVIER DE BARROS;PASTOR MARQUINHOS;GO;26/10/1976;ELEITO POR QP
MG;RIBEIR«O DAS NEVES;PREFEITO;TULIO MARTINS RAPOSO;TÈLIO ;MG;13/07/1988;ELEITO
GO;S«O SIM«O;VEREADOR;LEIA CRISTINA SOUZA;LêIA CRISTINA;GO;03/03/1978;ELEITO POR QP
AC;TARAUACµ;VEREADOR;FRANCISCO FEITOZA BATISTA;CHICO BATISTA;AC;08/09/1962;ELEITO POR QP
GO;S«O SIM«O;VEREADOR;PATRICIA JORGE MIRANDA;PATRICIA JORGE;GO;11/12/1978;ELEITO POR MêDIA
PA;SOURE;VEREADOR;ULISSES MOURA GOMES;LICINHO MOURA;PA;19/12/1985;ELEITO POR QP
MA;CHAPADINHA;VEREADOR;JOSê GOMES DE AGUIAR JUNIOR;JUNIOR AGUIAR;MA;26/11/1992;ELEITO POR QP
AL;CAPELA;VEREADOR;JOSê RODRIGUES GOUVEIA;Zê GOUVEIA;AL;19/03/1957;ELEITO POR MêDIA
MT;LUCIARA;VEREADOR;CHARLES MENEZES MARTINS;CHARLES MENEZES;MT;02/03/1974;ELEITO POR QP
PB;FAGUNDES;VEREADOR;TAMIRIS BORGES MARINHO DE SOUZA;TAMIRIS DE MARIA MEDEIROS;RJ;26/07/1993;ELEITO POR QP
MA;ESPERANTIN‡POLIS;VEREADOR;IVAN BEZERRA DA SILVA;BRAQUEARA;MA;30/12/1967;ELEITO POR QP
MT;NOVA MONTE VERDE;VEREADOR;FLAVIA MARTINS CORREA;FLµVIA DA SAÈDE;MT;27/03/1984;ELEITO POR QP
PB;GURJ«O;VEREADOR;THALIS JORGE CAMILO DE MORAIS;THALIS MORAIS;PB;19/09/1997;ELEITO POR QP
MA;PASTOS BONS;VEREADOR;WALTERLINS MOTA BARROS;DEDI;MA;18/02/1973;ELEITO POR QP
PB;MARCAÄ«O;VEREADOR;RAFAEL SANTOS ALFREDO;RAFA DE CAMURUPIM;PB;27/05/1986;ELEITO POR QP
AM;ITAMARATI;VEREADOR;ANTONIO SILVIO CAMPELO MONTEIRO;LIO CAMPELO;AM;24/06/1981;ELEITO POR QP
AM;PARINTINS;VEREADOR;JOSENALDO BATISTA LIMA;NALDO LIMA;AM;26/03/1984;ELEITO POR QP
SC;ARROIO TRINTA;VEREADOR;FERNANDO CLAUBER MANENTI;MANENTI;SC;02/05/1992;ELEITO POR MêDIA
PB;SERRA GRANDE;VEREADOR;ANTONIO DJANILSON AGOSTINHO LOPES;SURIM DE JANDUIR;PB;16/10/1985;ELEITO POR QP
PE;FEIRA NOVA;VEREADOR;JOSENILDO TAURINO DE PAULA;JUBA;PE;27/12/1963;ELEITO POR QP
BA;CRIST‡POLIS;VEREADOR;EDINALDO COSTA DE ARAÈJO;EDNALDO ARAUJO;BA;19/06/1978;ELEITO POR MêDIA
BA;GUARATINGA;VEREADOR;GENALDO SULINA DE FREITAS;GENALDO DA VERDURA;BA;25/10/1977;ELEITO POR QP
SC;OURO VERDE;VEREADOR;FRANCISCO CARLOS BASOTTI;CHICO BASOTTI;SC;02/01/1983;ELEITO POR MêDIA
PE;SALGUEIRO;VEREADOR;FRANCLêCIO LEANDRO BARROS DE Sµ PARENTE;LêO PARENTE;PE;11/01/1994;ELEITO POR QP
SP;SANTOS;PREFEITO;ROGêRIO PEREIRA DOS SANTOS;ROGêRIO SANTOS;SP;16/03/1966;ELEITO
SC;TIMB‡;VEREADOR;JOSELITO PAULO KUSS;JOSELITO;PR;19/02/1966;ELEITO POR MêDIA
SC;TIMB‡;VEREADOR;CLAUDER SERGIO WUTKE GEIKE;CLAUDER GEIKE;ES;26/01/1977;ELEITO POR QP
AL;IBATEGUARA;VEREADOR;GUSTAVO VALENÄA FARIAS;GUSTAVO FARIAS;AL;31/08/1975;ELEITO POR QP
SE;PINH«O;VEREADOR;LUANA GREG‡RIO DE SOUZA;LUANA GREG‡RIO;SE;21/08/1995;ELEITO POR MêDIA
PI;ANGICAL DO PIAU÷;VEREADOR;EVANDRO LEAL GOMES;EVANDRO DO COBAL;PI;26/10/1983;ELEITO POR QP
PI;BARRAS;VEREADOR;FRANCISCO DAS CHAGAS REGO DAMASCENO;MANIN REGO;PI;20/02/1959;ELEITO POR MêDIA
PR;PONTA GROSSA;VEREADOR;GUILHERME PEDROLLO MAZER;GUILHERME MAZER;PR;26/04/1987;ELEITO POR MêDIA
PI;BURITI DOS LOPES;VEREADOR;FERNANDO LUIZ LIBERATO MORAES;PROFESSOR FERNANDO LIBERATO;PI;23/12/1983;ELEITO POR QP
PI;LAGOA DE S«O FRANCISCO;VEREADOR;MARCELA RODRIGUES DA COSTA;DRA MARCELA COSTA;PI;24/03/1984;ELEITO POR QP
PR;RIO NEGRO;VEREADOR;MILENE TORRES GONÄALVES STALL;MILENE STALL;PR;15/07/1970;ELEITO POR MêDIA
PR;ANDIRµ;VEREADOR;GILMAR ROBERTO DE REZENDE;GILMARZINHO INGAZ«O;PR;24/04/1960;ELEITO POR MêDIA
BA;BARRA DA ESTIVA;VEREADOR;JURANDIR SENA SILVA;JURANDIR SENA;BA;12/11/1985;ELEITO POR MêDIA
BA;BARRO PRETO;VEREADOR;JOSEBETE VIEIRA DOS SANTOS;Zê BETE;BA;25/11/1975;ELEITO POR QP
BA;BONITO;VEREADOR;RAIMUNDO RODRIGUES DE AQUINO;RAIMUNDINHO DO BOTAFOGO;BA;31/05/1978;ELEITO POR QP
SP;CARAGUATATUBA;VEREADOR;DANSTER FERNANDES RODRIGUES DE SOUZA;DANSTER FERNANDES;SP;05/04/1995;ELEITO POR MêDIA
BA;CASTRO ALVES;VEREADOR;ROQUELINE NERI GOMES;ROQUINHA;BA;30/03/1967;ELEITO POR QP
RS;SETE DE SETEMBRO;VEREADOR;DAVI LUIS JASKULSKI;DAVI LUIS JASKULSKI;RS;01/07/1968;ELEITO POR MêDIA
BA;IGUA÷;VEREADOR;ROBêRIO GONÄALO PEREIRA;R‡ DE MIZA;BA;03/06/1984;ELEITO POR MêDIA
PR;TUP«SSI;VEREADOR;JOSE VANDERLEI DOS SANTOS;ZEZINHO;PR;11/04/1965;ELEITO POR QP
RJ;CARDOSO MOREIRA;VEREADOR;JOCIMAR JOSME MACHADO;J‚ DO PIRES;RJ;04/11/1984;ELEITO POR QP
RN;GUAMARê;VEREADOR;CARLOS ALBERTO DA SILVA CAMARA;CARLOS CAM∂RA;RN;05/07/1962;ELEITO POR MêDIA
RN;JARDIM DE PIRANHAS;VEREADOR;JOSê GOMES DA SILVA;PANELINHA;RN;15/10/1964;ELEITO POR QP
PR;TERRA ROXA;VEREADOR;WALDECYR DOS SANTOS SIMÂES;CICA;PR;01/07/1964;ELEITO POR MêDIA
RS;IBIAÄµ;VEREADOR;KEILOR BASSO;KEILOR BASSO;RS;06/11/1989;ELEITO POR QP
RS;IL‡POLIS;VEREADOR;NADIMIR LUIZ PICCOLI;NADI;RS;01/12/1969;ELEITO POR MêDIA
RS;IL‡POLIS;VEREADOR;CLENIR LOPES DA SILVA;PRETA;RS;01/01/1967;ELEITO POR QP
SP;MARIN‡POLIS;VEREADOR;CELSO BATISTA DOS REIS;CELSO BATISTA;SP;28/12/1965;ELEITO POR MêDIA
MG;IJACI;VEREADOR;JOSE MARCELO DE ANDRADE BOTELHO;MARCELO DO MAZICO;MG;21/05/1957;ELEITO POR QP
MG;ITAÈNA;VEREADOR;LACIMAR CEZARIO DA SILVA;LACIMAR O TR“S;MG;14/12/1973;ELEITO POR QP
CE;MARACANAÈ;PREFEITO;ROBERTO SOARES PESSOA;ROBERTO PESSOA;CE;21/05/1943;ELEITO
RS;CERRO GRANDE DO SUL;VEREADOR;GIOVANI LEONEL DA SILVA DOS PASSOS;GIOVANI LEONEL;RS;02/10/1997;ELEITO POR MêDIA
RS;LAVRAS DO SUL;PREFEITO;RENAN LEAL DELABARY;RENAN DELABARY;RS;17/01/1987;ELEITO
MS;RIO NEGRO;PREFEITO;HENRIQUE MITSUO VARGAS EZOE;HENRIQUE EZOE;MS;23/04/1989;ELEITO
RS;CONSTANTINA;VEREADOR;EDEVAL BORCIONI;PROFESSOR EDE;RS;30/06/1976;ELEITO POR QP
BA;MATINA;VEREADOR;ANT‚NIO GUEDES NETO;ANT‚NIO GUEDES;BA;07/04/1960;ELEITO POR QP
MG;ITAVERAVA;VEREADOR;ELESSANDRA REIS DE FARIA;ELESSANDRA LEL“;MG;06/01/1990;ELEITO POR MêDIA
MG;JANUµRIA;VEREADOR;VALDERI PEREIRA NASCIMENTO DOS SANTOS;BADINHA DE PANDEIROS;MG;10/04/1981;ELEITO POR QP
RS;NOVA ESPERANÄA DO SUL;VEREADOR;MAGNO JULIARDI GABERT;MAGNO GABERTI;RS;13/07/1991;ELEITO POR MêDIA
BA;SEABRA;VEREADOR;CLAUDIO COSTA FARIAS;KAU FARIAS;SP;07/07/1970;ELEITO POR MêDIA
BA;MADRE DE DEUS;VEREADOR;MARCOS PAULO DOS SANTOS MOURA;PAULINHO  DE  NALVA;BA;10/04/1975;ELEITO POR QP
CE;ARACATI;VEREADOR;ORLANDO FERREIRA DA COSTA;ORLANDO FERREIRA;CE;29/09/1949;ELEITO POR QP
BA;MADRE DE DEUS;VEREADOR;RUAN AMORIM PAIXAO;RUAN  O CARECA;BA;05/03/1984;ELEITO POR QP
BA;SANTA CRUZ DA VIT‡RIA;VEREADOR;GAVµS LOPES SOUSA;GAVµS;BA;31/01/1966;ELEITO POR QP
SP;TREMEMBê;VEREADOR;PAULO ROBERTO DOS SANTOS JUNIOR;PAULINHO KODAK;SP;26/10/1988;ELEITO POR QP
SP;TREMEMBê;VEREADOR;DIOGO NARESSI DOS SANTOS;DIOGO BORNµ;SP;22/11/1980;ELEITO POR MêDIA
ES;IBIRAÄU;VEREADOR;WEVERTON FERREIRA TONON;VERTINHO TONON;ES;04/08/1993;ELEITO POR MêDIA
SP;TREMEMBê;VEREADOR;VAGNER LEANDRO DE LIMA;VAGNER LIMA;SP;09/05/1974;ELEITO POR QP
BA;SOBRADINHO;VEREADOR;JOSê JUDIVAN RAMALHO DOS SANTOS;JUDIVAN RAMALHO;BA;18/12/1973;ELEITO POR QP
SP;GARÄA;PREFEITO;JOSê ALCIDES FANECO;FANECO;SP;17/11/1948;ELEITO
GO;CARMO DO RIO VERDE;VEREADOR;ANELIM BARBOSA DOS SANTOS;ANELIM BARBOSA;GO;10/05/1972;ELEITO POR QP
MG;SENHORA DO PORTO;VEREADOR;ARLEN RIBEIRO DOS ANJOS;ARLEN RIBEIRO PROCO;MG;14/08/1976;ELEITO POR QP
GO;GOIµS;VEREADOR;CESAR CAIADO DE CASTRO;ZêC«O;PR;11/04/1964;ELEITO POR MêDIA
GO;MATRINCH«;VEREADOR;FRED VICTOR DA SILVA SOUZA;FRED VICTOR;GO;01/10/1981;ELEITO POR QP
MT;COMODORO;VEREADOR;OZIMAR MOTA DA SILVA DO CARMO DE SOUZA;MALAG«O;PE;12/08/1967;ELEITO POR MêDIA
PE;CASINHAS;VEREADOR;ELIAS SILVA DA CRUZ;ELIAS DE MUAMBA;PE;02/11/1997;ELEITO POR QP
GO;PIRACANJUBA;VEREADOR;MARCO ANT‚NIO ANTUNES DA CRUZ;MARC«O SERRA NEGRA;GO;12/11/1963;ELEITO POR MêDIA
GO;PIRACANJUBA;VEREADOR;WELTON ETERNO DA SILVA;WELTON SILVA;GO;19/01/1979;ELEITO POR MêDIA
GO;PIRACANJUBA;VEREADOR;ADRIANA DIAS PINHEIRO;ADRIANA PINHEIRO;GO;29/10/1990;ELEITO POR QP
MT;S«O JOSê DO RIO CLARO;VEREADOR;MARIA APARECIDA SANTIAGO;MARIA SANTIAGO;PR;16/10/1975;ELEITO POR QP
GO;SANTA ISABEL;VEREADOR;LUCIENE SCORSOLINO TAVARES;LUCIENE DO JALLES;SP;17/03/1970;ELEITO POR MêDIA
PE;SANTA CRUZ DA BAIXA VERDE;VEREADOR;JOSE ELIAS BEZERRA DOS SANTOS;LICA DA BERNARDA;PE;06/05/1987;ELEITO POR QP
TO;FµTIMA;VEREADOR;LUCIVAN DA SILVA;LUCIVAN 100%;GO;15/03/1974;ELEITO POR QP
TO;JUARINA;VEREADOR;OTONIEL GOMES CAVALCANTE;TONY CAVALCANTE;TO;09/05/1989;ELEITO POR QP
TO;MARIAN‡POLIS DO TOCANTINS;VEREADOR;CLEIDIANA DIAS PEREIRA;MANINHA;TO;05/02/1983;ELEITO POR QP
MG;BARRA LONGA;PREFEITO;ELSON APARECIDO DE OLIVEIRA;ELSON MAGNATA;SP;15/10/1984;ELEITO
PI;ARRAIAL;VEREADOR;ALBERTO OLIVEIRA DA ROCHA;ALBERTO ROCHA;PI;18/05/1959;ELEITO POR MêDIA
SP;POµ;PREFEITO;SAULO DE OLIVEIRA SOUZA;SAULO SOUZA;SP;21/04/1984;ELEITO
PI;MANOEL EM÷DIO;VEREADOR;GLAUCINELSON BARBOSA DA SILVA;GLAUCIO BARBOSA;PI;13/10/1980;ELEITO POR QP
PI;MANOEL EM÷DIO;VEREADOR;PEDSON DA SILVA PAIX«O;PEDSON PAIX«O;PI;11/08/1986;ELEITO POR QP
PR;ASTORGA;VEREADOR;FATIMA NUNES DA SILVA;FATINHA DA SAUDE;PR;24/07/1980;ELEITO POR MêDIA
AL;S«O LU÷S DO QUITUNDE;VEREADOR;WELLITON FELISMINO RIBEIRO;WELLITON DO AMARO DO SINDICATO;AL;05/01/1980;ELEITO POR QP
MA;AÄAIL∂NDIA;VEREADOR;CêSAR NILDO COSTA LIMA;CêSAR COSTA;MA;27/07/1986;ELEITO POR QP
MA;AÄAIL∂NDIA;VEREADOR;CLEONES OLIVEIRA MATOS;KELL;MA;25/04/1974;ELEITO POR MêDIA
MA;CACHOEIRA GRANDE;VEREADOR;DANIEL DA ASSUNÄ«O SILVA;DANIEL;MA;06/07/1976;ELEITO POR QP
MA;MATA ROMA;VEREADOR;JOSIVAN GARRETO DA SILVA;JOSI GARRETO;MA;03/04/1971;ELEITO POR MêDIA
MA;GOVERNADOR LUIZ ROCHA;VEREADOR;FRANCISCO ALVES DOS SANTOS;MANO DO ALFREDO;MA;12/05/1964;ELEITO POR QP
MA;PAULINO NEVES;VEREADOR;VANUZIA DA PAZ MARTINS;VANUZIA DO BENTIVI;MA;23/04/1995;ELEITO POR QP
PR;FORMOSA DO OESTE;VEREADOR;MIGUEL ASCENCIO NABARRO;MIGUEL DIAS;PR;12/01/1953;ELEITO POR QP
MA;PAULINO NEVES;VEREADOR;JORGE BERNARDO JUNIOR;CORONEL BERNARDO;RJ;10/10/1966;ELEITO POR QP
PR;IVAIPOR«;VEREADOR;ILSON DONIZETE GAGLIANO;ILSINHO DA SAÈDE;PR;30/06/1962;ELEITO POR QP
MG;AÄUCENA;VEREADOR;RENATA GONÄALVES PEREIRA;RENATA DO BELO MONTE;MG;28/10/1996;ELEITO POR QP
BA;CASA NOVA;VEREADOR;PEDRO DOS SANTOS COSTA;PEDRINHO DA VANDA;BA;10/05/1970;ELEITO POR MêDIA
BA;FORMOSA DO RIO PRETO;VEREADOR;JOSE ANTONIO BARBOSA DE BARROS;MELETINHA;BA;28/03/1977;ELEITO POR MêDIA
SC;LACERD‡POLIS;VEREADOR;NELSO ANTONIO DALL ORSOLETTA;TABAQUINHO;SC;04/10/1966;ELEITO POR MêDIA
SC;MATOS COSTA;VEREADOR;VALDENEI ANTUNES DE LIMA;NEG«O ANTUNES;SC;01/06/1983;ELEITO POR QP
SC;MATOS COSTA;VEREADOR;JOCIMAR DA SILVA;JOCE;SC;11/03/1987;ELEITO POR QP
MG;BOM REPOUSO;VEREADOR;MICHELI SILVA ALCANTARA DO NASCIMENTO;PROFESSORA MICHELI;MG;04/03/1987;ELEITO POR QP
SC;CAMPO ER“;VEREADOR;SUZIANI TESKE;SUZI TESKE;SC;26/04/1981;ELEITO POR QP
RS;TAPERA;VEREADOR;JACSON IVAN LAUXEN;JACSON LAUXEN;RS;23/06/1980;ELEITO POR QP
PI;S«O FRANCISCO DO PIAU÷;PREFEITO;FABIANO ARAUJO DE MOURA;DR FABIANO ARAUJO;PI;26/01/1995;ELEITO
SC;RIO DO CAMPO;VEREADOR;JUNIOR MEES;JUNINHO MEES;SC;30/11/1990;ELEITO POR QP
MG;BONITO DE MINAS;VEREADOR;THALLES PIMENTA GUEDES;PROFESSOR THALLES;MG;07/05/1980;ELEITO POR MêDIA
BA;LAMAR«O;VEREADOR;NILDA MOURA DOS REIS JURITI DA SILVA;NILDA MOURA;BA;11/09/1970;ELEITO POR QP
MG;BONITO DE MINAS;VEREADOR;JOSê RODRIGUES GONÄALVES;PESCOCIM;MG;27/08/1978;ELEITO POR QP
SC;MASSARANDUBA;VEREADOR;SELESIO ZAPELINI;SELESIO;SC;15/09/1958;ELEITO POR MêDIA
SP;AGUDOS;VEREADOR;PEDRO ANDREA VICENTIN;PEDRINHO DO F‡RUM;SP;29/06/1958;ELEITO POR QP
MG;FORTALEZA DE MINAS;VEREADOR;ADRIANO APARECIDO DE QUEIROZ;ADRIANO QUEIROZ;MG;23/12/1984;ELEITO POR MêDIA
MG;FORTALEZA DE MINAS;VEREADOR;MANOEL GALDINO PROENÄA;MANê DO BAR;MG;23/08/1965;ELEITO POR MêDIA
SP;CATANDUVA;VEREADOR;IV∂NIA TEREZINHA SOLDATI MATEUS;IV∂NIA SOLDATI;SP;31/03/1968;ELEITO POR QP
PR;S«O JO«O DO TRIUNFO;VEREADOR;JOSE CARLOS SZYMINOVICZ;ZECA MEC∂NICO;PR;15/05/1974;ELEITO POR QP
PR;S«O JO«O DO TRIUNFO;VEREADOR;PAULO CEZAR DE LARA FERREIRA;TUCO;PR;29/06/1968;ELEITO POR QP
MG;IPATINGA;VEREADOR;AVELINO RIBEIRO DA CRUZ;AVELINO CRUZ VEV“;MG;06/02/1972;ELEITO POR QP
RJ;SANTO ANT‚NIO DE PµDUA;VEREADOR;LUIS CARLOS DA SILVA;TORINHO;RJ;20/05/1975;ELEITO POR QP
MG;LAJINHA;VEREADOR;ANT‚NIO JOSê DA FONSECA;FONSEQUINHA;MG;23/05/1943;ELEITO POR QP
RN;CURRAIS NOVOS;VEREADOR;REGINALDO FRANCISCO;REGINALDO;RN;24/11/1969;ELEITO POR QP
RN;CURRAIS NOVOS;VEREADOR;YCLEYBER TRAJANO DA SILVA;CLEYBER TRAJANO;RN;05/12/1982;ELEITO POR MêDIA
RS;CAP«O DO CIP‡;VEREADOR;TATIANA FASSINI RIBEIRO;TATI;RS;01/01/1984;ELEITO POR QP
RS;FLORIANO PEIXOTO;VEREADOR;BELONI SALETE PAULETTI;BELO;RS;23/02/1974;ELEITO POR QP
RS;IBARAMA;VEREADOR;TAMARA DAL RI;TAMARA;RS;11/01/1996;ELEITO POR QP
RS;MARCELINO RAMOS;VEREADOR;ROSELI MARIA GOETZ DREHER;ROSE DREHER;RS;25/08/1980;ELEITO POR QP
SP;LENÄ‡IS PAULISTA;VEREADOR;DIEGO DONISETE COELHO GOMES;DIEGO DONI;SP;21/06/1993;ELEITO POR MêDIA
SP;JERIQUARA;VEREADOR;SILMARA PIMENTA COSTA;SILMARA DO POSTO;SP;14/10/1976;ELEITO POR QP
SP;JERIQUARA;VEREADOR;MISAEL JESUS DERMINIO MARÄULA;MISAEL DA AMBUL∂NCIA;SP;08/09/1985;ELEITO POR QP
BA;CRAVOL∂NDIA;PREFEITO;CELSO COELHO DA SILVA;CELSO COELHO;BA;23/04/1983;ELEITO
MG;PATROC÷NIO DO MURIAê;VEREADOR;JOSE MARIA FERNANDES LUCCHINE;ZE MARIA DA SAPUCAIA;MG;04/06/1964;ELEITO POR MêDIA
CE;TAMBORIL;PREFEITO;LUIZ MARCELO MOTA LEITE;MARCELO MOTA;CE;11/01/1983;ELEITO
MG;PATROC÷NIO DO MURIAê;VEREADOR;SANDRO DA SILVA CORTES;SANDRO CAZUZA;MG;01/02/1977;ELEITO POR QP
SP;MIRAND‡POLIS;VEREADOR;PAULO SERGIO LOPES;PAULINHO DA BORRACHARIA;SP;10/08/1982;ELEITO POR QP
SP;PARIQUERA-AÄU;VEREADOR;RODRIGO CLAUDIONOR MENDES;RODRIGO MENDES;SP;11/08/1980;ELEITO POR MêDIA
PB;BELêM DO BREJO DO CRUZ;PREFEITO;LEOMAR J∂NIO DE MEDEIROS MAIA;LEOMAR MAIA;PB;12/12/1990;ELEITO
SP;PALESTINA;VEREADOR;SILVIO ROBERTO TRINDADE;SILVIO TRINDADE;SP;26/05/1966;ELEITO POR QP
BA;TANHAÄU;VEREADOR;LU÷S HENRIQUE DE JESUS MASCARENHAS;RICK DE NATAL;BA;05/09/1998;ELEITO POR QP
BA;TANHAÄU;VEREADOR;JEFFERSON OLIVEIRA ROCHA;JEFFERSON ROCHA;BA;15/05/2000;ELEITO POR MêDIA
SP;REGIN‡POLIS;VEREADOR;ALINE BARBOSA DA SILVEIRA BELLO;ALINE BELLO;SP;21/04/1982;ELEITO POR MêDIA
BA;UBAT«;VEREADOR;GABRIEL DE ASSUMPÄ«O NASCIF;GABRIEL NASCIF;BA;10/06/1974;ELEITO POR QP
BA;VµRZEA DA ROÄA;VEREADOR;FLORISVALDO OLIVEIRA ALVES;FLORISVALDO;BA;14/02/1972;ELEITO POR QP
SP;SANTO ANDRê;VEREADOR;JOSE TEIXEIRA MENDES;ZEZ«O;MA;05/05/1954;ELEITO POR MêDIA
MG;S«O GONÄALO DO ABAETê;VEREADOR;ELISEU RAMOS SOARES;ELISEU DO TAXI;MG;21/05/1985;ELEITO POR MêDIA
MG;S«O JO«O DO MANTENINHA;VEREADOR;ALEXSANDRO MARTINS DO NASCIMENTO;ALEX;MG;04/09/1978;ELEITO POR QP
CE;AURORA;VEREADOR;ANTONIO WILTON DOS SANTOS;BRASA;CE;05/05/1974;ELEITO POR QP
MG;S«O JOSê DA VARGINHA;VEREADOR;JOSE CARLOS SECUNDINO;NEGRINHO DA LAGOA PRETA;MG;27/10/1971;ELEITO POR MêDIA
SP;SANTO ANT‚NIO DO ARACANGUµ;VEREADOR;CLODOALDO BASTOS DA SILVA;CRO;SP;25/04/1976;ELEITO POR QP
SP;SANTO ANDRê;VEREADOR;JOBERT ALEXANDRINO;PROF. JOBERT MINHOCA;SP;09/07/1981;ELEITO POR QP
MG;S«O JOSê DO MANTIMENTO;VEREADOR;WELITON GOMES NASCIMENTO;CUECA;MG;08/05/1979;ELEITO POR MêDIA
CE;MILAGRES;VEREADOR;FRANCISCO WESLEY MOREIRA DE MORAIS;TETê MORAIS;CE;18/04/1986;ELEITO POR QP
SP;TORRINHA;VEREADOR;JOSê MINATEL;Zê MINATEL;SP;22/09/1950;ELEITO POR QP
SC;BENEDITO NOVO;PREFEITO;JEAN MICHEL GRUNDMANN;JEAN MICHEL GRUNDMANN;SC;13/12/1984;ELEITO
PA;BARCARENA;VEREADOR;FRANCISCO FURTADO E SILVA JUNIOR;JUNIOR CRAVO;PA;27/10/1988;ELEITO POR MêDIA
PA;S«O CAETANO DE ODIVELAS;VEREADOR;AIANA LUCIA SOARES DOS SANTOS;AYANA SOARES;PA;26/07/1991;ELEITO POR QP
PA;BARCARENA;VEREADOR;JULIENA NOBRE SOARES;JULIENA NOBRE;PA;30/05/1989;ELEITO POR QP
PA;TRACUATEUA;VEREADOR;RAIMUNDO ENNIS REIS DE SOUSA;ENINHO DO TATU;PA;23/01/1983;ELEITO POR MêDIA
GO;GOIANêSIA;VEREADOR;MARCOS PORTILHO DA CUNHA;MARCOS PORTILHO MARKIM JESSICA;GO;02/03/1972;ELEITO POR MêDIA
PA;SANTA CRUZ DO ARARI;VEREADOR;MAILSON BELTRAO DA SILVA;MAILSON BELTRAO ;PA;05/07/1984;ELEITO POR QP
MS;DOIS IRM«OS DO BURITI;VEREADOR;EDER DE AGUIAR VIANA;EDER VIANA;MS;24/06/1979;ELEITO POR QP
GO;JARAGUµ;VEREADOR;GASPAR DA COSTA GONÄALVES;GASPAR DA COSTA;GO;24/03/1962;ELEITO POR MêDIA
PB;PEDRA LAVRADA;VEREADOR;JOAO MARCONI DA SILVA BURITI;MARCONI BURITI;PB;16/09/1979;ELEITO POR QP
PB;PEDRA LAVRADA;VEREADOR;IAN VICTOR SILVA CORDEIRO SOUTO;IAN CORDEIRO;PB;06/11/1997;ELEITO POR QP
PB;SANTA CEC÷LIA;VEREADOR;ALMIR BARBOSA SILVA;ALMIR;PE;30/06/2001;ELEITO POR QP
MA;APICUM-AÄU;VEREADOR;DORIVAL RABELO CASTRO;DORO;MA;03/07/1970;ELEITO POR QP
MA;APICUM-AÄU;VEREADOR;VALDINAN LEITE DE CASTRO FERREIRA;VALDINAN CASTRO;MA;13/07/1973;ELEITO POR QP
PB;DONA IN“S;VEREADOR;ROGERIO DE ARAUJO MOREIRA;ROGERIO MOREIRA;PB;26/10/1976;ELEITO POR QP
PB;FREI MARTINHO;VEREADOR;SIMONE FµTIMA DE MEDEIROS SILVA;SIMONE;PB;09/09/1977;ELEITO POR MêDIA
MA;CAPINZAL DO NORTE;VEREADOR;GILDACIO ALVES DA SILVA;GILDµCIO COLAÄO;MA;28/08/1987;ELEITO POR QP
PB;S«O JO«O DO RIO DO PEIXE;VEREADOR;ANTONIO LUIZ DE SOUSA;TOINHO DO GRAVATA;PB;28/05/1966;ELEITO POR QP
PB;VµRZEA;VEREADOR;FRANCISCO LINDEILDO DE ARAUJO;TICO;PB;15/03/1964;ELEITO POR QP
PE;GRAVATµ;VEREADOR;SILMARA CRISTIANE DA SILVA CARVALHO;SILMARA ENFERMEIRA;PE;11/11/1982;ELEITO POR MêDIA
MG;AUGUSTO DE LIMA;VEREADOR;FABRICIO PEDRAS FONSECA;FABRICIO DE ENEBIO (BUI«O);MG;19/03/1978;ELEITO POR QP
SC;IPIRA;VEREADOR;MARCIANO DE MELLO;MARCIANO MELLO;SC;23/07/1983;ELEITO POR QP
MG;JECEABA;PREFEITO;FABIO VASCONCELOS;FABIO VASCONCELOS;MG;03/10/1964;ELEITO
MG;RIO POMBA;PREFEITO;FERNANDO ANTONIO DUTRA MACEDO;DR FERNANDO;MG;07/01/1950;ELEITO
PE;RIO FORMOSO;VEREADOR;JOSê BARBOSA ATA÷DE SILVA;BARBOSA CONSTRUTOR;PE;13/03/1983;ELEITO POR MêDIA
SC;QUILOMBO;VEREADOR;NEREU CANDIDO MARTINHAGO;MARTINHAGO;SC;10/09/1961;ELEITO POR MêDIA
SE;ROSµRIO DO CATETE;VEREADOR;ANTONIO CARLOS SANTOS DE SANTANA;KALLU;SE;06/08/1983;ELEITO POR QP
PE;SURUBIM;VEREADOR;CARLOS MAURICIO GUERRA LEAL;CARLOS MAUR÷CIO;PE;30/10/1973;ELEITO POR MêDIA
SP;AGUA÷;VEREADOR;ENOQUE RODRIGUES DA COSTA;ENOQUE;MG;25/10/1958;ELEITO POR QP
AL;PALMEIRA DOS ÷NDIOS;VEREADOR;SALOM«O CAVALCANTE TORRES;SALOM«O TORRES;AL;20/05/1976;ELEITO POR QP
AL;PALMEIRA DOS ÷NDIOS;VEREADOR;GILENO COSTA SAMPAIO FILHO;GILENINHO SAMPAIO;AL;14/03/1974;ELEITO POR QP
